ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TCK-1001,High,Open,Network,WiFi Outage,Office WiFi down affecting all floors,2024-10-10,,tech_john
TCK-1002,Low,Closed,Software,Update Request,User requested software update,2024-10-05,2024-10-06,tech_sara
TCK-1003,Medium,In Progress,Hardware,Printer Failure,Printer not working in HR department,2024-10-12,,tech_mike
TCK-1004,Critical,Escalated,Security,Account Compromise,User account suspected to be hacked,2024-10-13,,tech_kevin
TCK-1005,Medium,Open,Network,Slow Internet,Users reporting slow internet speeds,2024-10-09,,tech_john
TCK-1006,Low,Closed,Software,Password Reset,User forgot their password,2024-10-06,2024-10-06,tech_emma
TCK-1007,High,In Progress,Server,Database Down,Main database server is offline,2024-10-14,,tech_maria
TCK-1008,Medium,Closed,Hardware,Mouse Not Working,Mouse malfunction reported,2024-10-03,2024-10-04,tech_mike
TCK-1009,Low,Closed,Other,Stationery Request,User requested new office supplies,2024-10-02,2024-10-02,tech_sara
TCK-1010,High,Open,Email,Email Delivery Failure,Emails not sending to external domains,2024-10-11,,tech_linda
TCK-1011,Medium,Closed,Network,LAN Port Failure,LAN port not working on 2nd floor,2024-10-01,2024-10-02,tech_john
TCK-1012,Low,Closed,Software,Install Application,New app installation requested,2024-10-07,2024-10-08,tech_emma
TCK-1013,Medium,In Progress,Security,Phishing Email,Suspicious email reported by staff,2024-10-12,,tech_kevin
TCK-1014,High,Open,Hardware,Monitor Flickering,Monitor flickers when turned on,2024-10-09,,tech_mike
TCK-1015,Medium,Closed,Software,License Renewal,Software license renewal assistance,2024-10-05,2024-10-06,tech_sara
TCK-1016,Low,Closed,Network,Cable Replacement,Ethernet cable damaged and replaced,2024-10-03,2024-10-03,tech_john
TCK-1017,High,In Progress,Server,Backup Failure,Nightly backup job failed,2024-10-14,,tech_maria
TCK-1018,Medium,Closed,Hardware,Keyboard Issue,Keys not responding,2024-10-04,2024-10-05,tech_mike
TCK-1019,Low,Closed,Software,Access Request,User needs access to tool,2024-10-06,2024-10-06,tech_linda
TCK-1020,High,Open,Security,Unauthorized Login Attempt,Multiple failed login attempts detected,2024-10-11,,tech_kevin
TCK-1021,Medium,Closed,Network,Switch Overheating,Network switch overheating warning,2024-10-02,2024-10-03,tech_john
TCK-1022,Critical,Escalated,Server,Server Crash,Main application server crashed overnight,2024-10-14,,tech_maria
