date,incident_type,severity,status,description,reported_by
2024-11-01,Phishing,High,Open,Employee reported suspicious email,alice
2024-11-03,Malware,Medium,Closed,Malware detected on workstation and removed,john
2024-11-05,Data Breach,Critical,Investigating,Possible unauthorized access to internal files,maria
2024-11-06,Ransomware,Critical,Investigating,Encrypted files discovered on shared drive,steve
2024-11-07,Phishing,Low,Closed,User clicked link but no compromise detected,linda
2024-11-08,DDOS,High,Mitigating,Unusual traffic spike detected on web server,tom
2024-11-09,Bruteforce Attack,Medium,Open,Multiple failed login attempts from unknown IP,emma
2024-11-10,Insider Threat,High,Investigating,Employee attempted unauthorized data download,kevin
2024-11-11,Malware,Medium,Closed,Adware found on workstation and cleaned,sara
2024-11-12,Vulnerability Exploit,High,Mitigating,Public exploit detected targeting outdated software,bill
2024-11-13,Phishing,Medium,Open,Fake invoice email sent to finance team,alice
2024-11-14,Password Spray,Medium,Open,Multiple corporate accounts targeted,bruce
2024-11-15,Data Leak,High,Investigating,Confidential document accidentally shared externally,sophia
2024-11-16,Phishing,Medium,Closed,Credential harvesting attempt blocked,oliver
2024-11-17,SQL Injection Attempt,High,Mitigating,Suspicious queries found in server logs,henry
2024-11-18,Malware,Critical,Investigating,Trojan detected on executive laptop,rachel
2024-11-19,Unauthorized Access,High,Open,Login from unusual geographic location,nina
2024-11-20,Phishing,Low,Closed,Spam email reported by user,liam
2024-11-21,Privilege Escalation Attempt,High,Investigating,Unauthorized attempt to gain admin rights,eric
2024-11-22,DDOS,Medium,Closed,Traffic normalized after mitigation,sam
2024-11-23,Malware,High,Open,Rootkit suspected on internal server,ben
2024-11-24,Firewall Breach Attempt,Medium,Mitigating,Blocked connection from blacklisted IP,mark
2024-11-25,Ransomware,Critical,Open,Workstation showing ransom note popup,jane
2024-11-26,Phishing,Medium,Closed,Staff received fake HR notification email,alice
2024-11-27,Bruteforce Attack,High,Open,Repeated login attempts detected overnight,joel
2024-11-28,Data Breach,Critical,Investigating,Sensitive client data may be exposed,maria
2024-11-29,Phishing,Medium,Open,User unknowingly shared credentials,claire
2024-11-30,Spyware,High,Closed,Spyware removed from device,tina
2024-12-01,Unauthorized Access,Medium,Investigating,Strange admin logs noted on database,adam
2024-12-02,Malware,Medium,Closed,Workstation cleanup completed,john
2024-12-03,Phishing,Low,Closed,Mass spam campaign detected,emma
2024-12-04,Vulnerability Exploit,High,Mitigating,Exploit attempt on VPN appliance,david
2024-12-05,Privilege Misuse,Medium,Open,User accessed restricted directory,chris
2024-12-06,DDOS,High,Mitigating,Targeted attack on public API server,tom
2024-12-07,Phishing,Medium,Open,Fake password reset notice circulated,alice
2024-12-08,Scam Attempt,Low,Closed,User received fake support call,rachel
2024-12-09,Malware,High,Investigating,Unknown binary running in background,nina
2024-12-10,Data Leak,High,Open,Confidential email sent to wrong recipient,ben
2024-12-11,Insider Threat,Medium,Investigating,Employee accessed HR files without permission,kevin
2024-12-12,Phishing,High,Open,CEO impersonation email sent to accounting,sophia
2024-12-13,Ransomware,Critical,Open,Files becoming unreadable across multiple PCs,jane
2024-12-14,Bruteforce Attack,Low,Closed,Automated attack blocked by firewall,sam
2024-12-15,Phishing,Low,Closed,Suspicious QR code email reported,tina
2024-12-16,Virus,Medium,Investigating,Legacy system infected,oliver
2024-12-17,Phishing,Medium,Open,Fake Microsoft login alert reported,claire
2024-12-18,Malware,High,Closed,Worm removed from internal network,sara
2024-12-19,Data Breach,Critical,Investigating,Unauthorized S3 bucket access detected,maria
2024-12-20,Spyware,Medium,Open,Browser extension collecting data found,linda
2024-12-21,DDOS,High,Mitigating,Attack from multiple global IPs detected,mark
2024-12-22,Phishing,Medium,Closed,User training initiated after incident,alice
2024-12-23,Malware,High,Open,Encrypted traffic from infected endpoint,john
2024-12-24,Unauthorized Access,High,Investigating,Compromised account used for internal access,ben
2024-12-25,Virus,Low,Closed,Legacy malware detected and removed,jane
2024-12-26,Phishing,Medium,Open,Fake delivery notification email circulated,emma
2024-12-27,DDOS,High,Open,Ongoing large-scale attack on company website,tom
2024-12-28,Insider Threat,High,Investigating,Employee copying sensitive data to USB,kevin
2024-12-29,Malware,Medium,Closed,Keylogger detected and removed,sara
2024-12-30,Ransomware,Critical,Mitigating,Network segmentation initiated,steve
2024-12-31,Phishing,Medium,Closed,User avoided clicking suspicious link,liam
2025-01-01,Data Breach,Critical,Open,Third-party vendor reported possible data exposure,maria
