dataset_name,category,source,last_updated,record_count,file_size_mb
Employee Logins,Security Logs,Internal System,2024-11-15,12500,4.2
Firewall Events,Network Monitoring,FortiGate Appliance,2024-11-10,8500,3.7
Endpoint Alerts,EDR Alerts,CrowdStrike Falcon,2024-11-13,4200,2.9
VPN Connections,Security Logs,Palo Alto VPN,2024-11-12,9800,3.4
Email Security Reports,Email Filtering,Proofpoint,2024-11-11,15200,5.1
Web Traffic Logs,Network Monitoring,Proxy Server,2024-11-08,24300,7.8
DNS Queries,DNS Logs,Bind DNS Server,2024-11-10,35500,9.3
User Access Requests,Identity Management,Okta,2024-11-14,5300,1.9
HR Employee Records,HR Database,Workday,2024-10-20,1200,0.8
Payroll Transactions,Finance,Internal Payroll System,2024-10-25,6400,2.5
Server Health Metrics,System Monitoring,Nagios,2024-11-13,17800,6.2
Application Error Logs,App Monitoring,Elastic APM,2024-11-12,20900,7.6
Threat Intelligence Feeds,Security Intelligence,External Source,2024-11-14,8900,3.3
Antivirus Scan Results,Endpoint Protection,Microsoft Defender,2024-11-05,11200,4.0
Network Configuration Backups,Configuration Management,Git Repository,2024-11-01,340,0.6
Access Control Lists,Security Configurations,Cisco ASA,2024-11-07,1500,1.1
Incident Response Notes,Security Operations,Jira,2024-11-03,3800,1.4
Helpdesk Tickets,IT Support,ServiceNow,2024-11-09,21900,8.7
Cloud Activity Logs,Cloud Monitoring,AWS CloudTrail,2024-11-12,47000,12.0
Database Query Logs,DB Monitoring,MySQL,2024-11-10,19500,5.9
Authentication Failures,Security Logs,Active Directory,2024-11-13,8700,2.8
Successful Authentications,Security Logs,Active Directory,2024-11-13,30500,10.4
Patch Management Reports,IT Operations,ManageEngine,2024-11-06,5200,1.7
Phishing Reports,Awareness Training,Cofense,2024-11-11,6400,2.3
Security Training Completion,Training Records,HR Portal,2024-10-29,3100,1.2
Assets Inventory,IT Asset Management,AssetDB,2024-11-10,7300,2.6
Network Device Inventory,Network Management,SolarWinds,2024-11-08,1500,1.0
API Logs,Application Monitoring,API Gateway,2024-11-12,28000,9.1
Payment Transactions,Finance,Stripe API,2024-11-05,18500,6.8
Customer Feedback,Customer Support,CRM System,2024-10-28,5700,2.0
Supplier Records,Procurement,ERP System,2024-10-19,2100,0.9
Building Access Logs,Physical Security,Badge System,2024-11-10,16500,5.4
Email Archive,Email Storage,Exchange Server,2024-11-01,56000,15.2
Backup Job Reports,Backup Monitoring,Veeam,2024-11-07,4300,2.1
Website Analytics,Marketing,Google Analytics,2024-10-30,42000,11.7
User Device Inventory,Asset Tracking,Intune,2024-11-11,9200,3.4
System Performance Metrics,Monitoring,System Center,2024-11-12,30000,10.8
Login Anomalies,Security Detection,SIEM Platform,2024-11-13,7800,2.9
Malware Detection Logs,Endpoint Detection,CrowdStrike Falcon,2024-11-12,13400,4.8
Network Latency Stats,Network Monitoring,ThousandEyes,2024-11-10,22000,7.5
